game_id,season,week,site,kickoff_local,temp,wind,gust,precip
2016_15_PHI_BAL,2016,15,BAL,2016-12-18 13:00:00,56.4,7.8,26.8,0.067
2017_02_CLE_BAL,2017,2,BAL,2017-09-17 13:00:00,77.5,2.4,9.2,0.0
2017_04_PIT_BAL,2017,4,BAL,2017-10-01 13:00:00,64.3,3.8,12.5,0.0
2017_06_CHI_BAL,2017,6,BAL,2017-10-15 13:00:00,70.4,10.8,20.8,0.0
2017_08_MIA_BAL,2017,8,BAL,2017-10-26 20:00:00,53.0,5.9,13.6,0.0
2017_12_HOU_BAL,2017,12,BAL,2017-11-27 20:00:00,44.3,3.0,8.7,0.0
2017_13_DET_BAL,2017,13,BAL,2017-12-03 13:00:00,52.4,7.6,15.2,0.0
2017_16_IND_BAL,2017,16,BAL,2017-12-23 16:00:00,60.7,17.9,34.2,0.031
2017_17_CIN_BAL,2017,17,BAL,2017-12-31 16:00:00,20.2,11.7,23.5,0.004
2018_01_BUF_BAL,2018,1,BAL,2018-09-09 13:00:00,64.0,18.0,32.0,0.071
2018_03_DEN_BAL,2018,3,BAL,2018-09-23 13:00:00,63.6,8.3,15.2,0.028
2018_07_NO_BAL,2018,7,BAL,2018-10-21 16:00:00,51.4,15.6,28.2,0.0
2018_09_PIT_BAL,2018,9,BAL,2018-11-04 13:00:00,51.7,5.9,14.3,0.0
2018_11_CIN_BAL,2018,11,BAL,2018-11-18 13:00:00,47.4,8.3,16.6,0.0
2018_12_OAK_BAL,2018,12,BAL,2018-11-25 13:00:00,54.4,6.4,13.9,0.0
2018_15_TB_BAL,2018,15,BAL,2018-12-16 13:00:00,43.0,11.4,20.1,0.083
2018_17_CLE_BAL,2018,17,BAL,2018-12-30 16:00:00,46.6,2.9,8.5,0.0
2018_18_LAC_BAL,2018,18,BAL,2019-01-06 13:00:00,50.0,14.4,26.6,0.0
2019_02_ARI_BAL,2019,2,BAL,2019-09-15 13:00:00,81.8,1.4,11.6,0.0
2019_04_CLE_BAL,2019,4,BAL,2019-09-29 13:00:00,83.3,6.0,15.9,0.0
2019_06_CIN_BAL,2019,6,BAL,2019-10-13 13:00:00,61.7,5.5,14.3,0.0
2019_09_NE_BAL,2019,9,BAL,2019-11-03 20:00:00,41.5,3.7,8.1,0.0
2019_11_HOU_BAL,2019,11,BAL,2019-11-17 13:00:00,41.4,9.1,18.6,0.0
2019_13_SF_BAL,2019,13,BAL,2019-12-01 13:00:00,41.0,12.3,21.0,0.15
2019_15_NYJ_BAL,2019,15,BAL,2019-12-12 20:00:00,30.2,4.2,7.2,0.0
2019_17_PIT_BAL,2019,17,BAL,2019-12-29 16:00:00,48.3,7.4,13.2,0.024
2019_19_TEN_BAL,2019,19,BAL,2020-01-11 20:00:00,63.6,8.8,20.6,0.0
2020_01_CLE_BAL,2020,1,BAL,2020-09-13 13:00:00,72.9,4.9,10.7,0.004
2020_03_KC_BAL,2020,3,BAL,2020-09-28 20:00:00,70.7,11.8,17.0,0.0
2020_05_CIN_BAL,2020,5,BAL,2020-10-11 13:00:00,68.5,5.9,11.4,0.008
2020_08_PIT_BAL,2020,8,BAL,2020-11-01 13:00:00,52.2,11.7,24.2,0.193
2020_11_TEN_BAL,2020,11,BAL,2020-11-22 13:00:00,49.9,7.1,15.0,0.0
2020_13_DAL_BAL,2020,13,BAL,2020-12-08 20:00:00,36.1,11.5,21.0,0.0
2020_15_JAX_BAL,2020,15,BAL,2020-12-20 13:00:00,40.5,10.0,18.1,0.0
2020_16_NYG_BAL,2020,16,BAL,2020-12-27 13:00:00,34.7,4.5,12.1,0.0
2021_02_KC_BAL,2021,2,BAL,2021-09-19 20:00:00,68.6,5.1,7.2,0.0
