variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
current,7.3694,10.0235,10.6364,49-34,0.59,94-71,1055,7.2995,9.9965,10.2709,24-18,0.571,50-34,816
QB rating with his rushing (per dropback + carry),7.3569,10.0062,10.638,50-31,0.617,90-69,1055,7.2987,9.9857,10.2883,23-16,0.59,42-32,816
QB rating with half his rushing,7.3602,10.01,10.6359,49-31,0.613,93-71,1055,7.2967,9.9882,10.2787,22-15,0.595,47-33,816
+ home x division,7.3748,10.0434,10.6364,47-37,0.56,96-67,1055,7.301,10.002,10.2709,30-19,0.612,47-36,816
+ home x short week,7.3709,10.0285,10.6364,50-34,0.595,97-70,1055,7.2998,9.9966,10.2709,24-18,0.571,50-35,816
