variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
baseline,7.4362,10.1523,10.6401,41-32,0.562,75-61,1055,7.3534,10.1172,10.2898,25-17,0.595,53-43,816
share,7.4455,10.1621,10.6379,49-36,0.576,74-64,1055,7.3534,10.1149,10.29,29-20,0.592,52-48,816
half,7.4409,10.1611,10.6368,46-35,0.568,81-63,1055,7.3495,10.1045,10.2927,28-18,0.609,55-45,816
both_sides,7.4417,10.1568,10.6373,45-37,0.549,74-65,1055,7.353,10.114,10.2904,28-19,0.596,51-45,816
