decay,prior,alpha,ridge,team_mae,margin_mae,total_mae,ats_bets,ats_pct,ats_roi,ou_bets,ou_pct,ou_roi,brier,n
0.93,0.3,2.0,1.0,7.484000097628443,10.15844830520186,10.769469471315832,259.0,0.5057915057915058,-0.0343980343980344,181.0,0.4972375690607735,-0.0507282772476142,0.2223681247386577,1055
0.93,0.3,2.0,3.0,7.483814019825092,10.157746170045687,10.769165632366713,257.0,0.5058365758754864,-0.0343119915104351,182.0,0.4945054945054945,-0.0559440559440559,0.2223525374048733,1055
0.93,0.3,2.0,10.0,7.483299843224685,10.155691971301485,10.768266689810025,256.0,0.5078125,-0.0305397727272727,182.0,0.4945054945054945,-0.0559440559440559,0.2223097172867688,1055
0.93,0.3,4.0,1.0,7.48064737918158,10.165561030605655,10.760019452058678,256.0,0.51953125,-0.0081676136363636,179.0,0.4972067039106145,-0.0507872016251904,0.2224916147930076,1055
0.93,0.3,4.0,3.0,7.480477382911296,10.16480692022786,10.759809599766474,255.0,0.5215686274509804,-0.0042780748663101,179.0,0.4972067039106145,-0.0507872016251904,0.2224775450932818,1055
0.93,0.3,4.0,10.0,7.480001137638104,10.162526115324033,10.759177565331106,255.0,0.5215686274509804,-0.0042780748663101,176.0,0.5,-0.0454545454545454,0.22243881954569,1055
0.93,0.3,8.0,1.0,7.479777877517415,10.177438078514657,10.7512673252516,261.0,0.5402298850574713,0.0313479623824451,180.0,0.4833333333333333,-0.0772727272727273,0.2226546907091506,1055
0.93,0.3,8.0,3.0,7.479666423851858,10.176680514425495,10.75110111249647,260.0,0.5346153846153846,0.0206293706293706,179.0,0.4804469273743016,-0.0827831386490604,0.2226418327370776,1055
0.93,0.3,8.0,10.0,7.4793280059124,10.174360324372028,10.750621202267666,261.0,0.5363984674329502,0.0240334378265412,175.0,0.4914285714285714,-0.0618181818181818,0.2226063468246767,1055
0.93,0.5,2.0,1.0,7.483870721107741,10.149492963741912,10.771919755319566,263.0,0.4980988593155893,-0.0490839958520567,187.0,0.4759358288770053,-0.0913952357802625,0.2220090584793395,1055
0.93,0.5,2.0,3.0,7.483650128732257,10.148818256354996,10.771354210436796,263.0,0.4980988593155893,-0.0490839958520567,187.0,0.4759358288770053,-0.0913952357802625,0.2219878737890951,1055
0.93,0.5,2.0,10.0,7.483046998740169,10.146846840572373,10.769789117473689,258.0,0.5,-0.0454545454545454,186.0,0.4838709677419355,-0.0762463343108504,0.221930412802697,1055
0.93,0.5,4.0,1.0,7.48016145935946,10.15359498453143,10.764966531548229,256.0,0.49609375,-0.0529119318181818,179.0,0.4916201117318435,-0.0614525139664804,0.2220530074460621,1055
0.93,0.5,4.0,3.0,7.479996915194768,10.152824626790768,10.764513122914382,255.0,0.4941176470588235,-0.0566844919786096,179.0,0.4916201117318435,-0.0614525139664804,0.2220331033666716,1055
0.93,0.5,4.0,10.0,7.479529696116927,10.150511528299402,10.763204172499526,255.0,0.4980392156862745,-0.0491978609625668,178.0,0.4943820224719101,-0.0561797752808988,0.2219789490573984,1055
0.93,0.5,8.0,1.0,7.47753912990247,10.160972829194357,10.757507292464853,258.0,0.5155038759689923,-0.0158562367864693,174.0,0.4942528735632184,-0.0564263322884012,0.222141429434551,1055
0.93,0.5,8.0,3.0,7.477366585044963,10.1601522689051,10.7571309609952,258.0,0.5155038759689923,-0.0158562367864693,174.0,0.4942528735632184,-0.0564263322884012,0.2221229460521353,1055
0.93,0.5,8.0,10.0,7.476880486739313,10.157713973470544,10.75602178736218,254.0,0.515748031496063,-0.0153901216893343,175.0,0.4971428571428571,-0.0509090909090909,0.2220724403582964,1055
0.93,0.8,2.0,1.0,7.489869995888479,10.15839882073765,10.780839511653944,288.0,0.4895833333333333,-0.0653409090909091,196.0,0.4846938775510204,-0.0746753246753246,0.2219349353481154,1055
0.93,0.8,2.0,3.0,7.489451601045792,10.15772488087092,10.779798237605196,287.0,0.4878048780487805,-0.0687361419068736,196.0,0.4846938775510204,-0.0746753246753246,0.2219070580121768,1055
0.93,0.8,2.0,10.0,7.488327509021265,10.1557080477223,10.777024112052963,284.0,0.4859154929577465,-0.0723431498079385,194.0,0.4845360824742268,-0.0749765698219306,0.2218329770785935,1055
0.93,0.8,4.0,1.0,7.486399323452463,10.157906162690464,10.775071981906963,278.0,0.4964028776978417,-0.0523217789404839,199.0,0.4924623115577889,-0.0598446779351302,0.2219071631282366,1055
0.93,0.8,4.0,3.0,7.486016809547318,10.157006823747244,10.774152139252392,276.0,0.4927536231884058,-0.0592885375494071,197.0,0.4974619289340101,-0.0502999538532533,0.2218799629913092,1055
0.93,0.8,4.0,10.0,7.484964241371687,10.154737457874006,10.771619854159946,273.0,0.4945054945054945,-0.0559440559440559,198.0,0.494949494949495,-0.0550964187327823,0.2218075250649992,1055
0.93,0.8,8.0,1.0,7.482793738543497,10.161689801921062,10.769191684261706,275.0,0.4981818181818181,-0.0489256198347107,193.0,0.4974093264248704,-0.0504003768252473,0.221901338318757,1055
0.93,0.8,8.0,3.0,7.482460609836331,10.16071454331658,10.768321212533124,274.0,0.5,-0.0454545454545454,192.0,0.4947916666666667,-0.0553977272727272,0.2218752803063645,1055
0.93,0.8,8.0,10.0,7.481628962945241,10.157947033310878,10.765882548927156,275.0,0.5018181818181818,-0.0419834710743801,191.0,0.4921465968586387,-0.0604474059971441,0.2218056270013618,1055
0.96,0.3,2.0,1.0,7.488469480110048,10.158945539065217,10.78038965015885,260.0,0.4923076923076923,-0.0601398601398601,194.0,0.4793814432989691,-0.084817244611059,0.222264352549012,1055
0.96,0.3,2.0,3.0,7.488234134194183,10.158234515841604,10.779848823127107,260.0,0.4884615384615384,-0.0674825174825175,193.0,0.4818652849740932,-0.0800753650494583,0.222241516397308,1055
0.96,0.3,2.0,10.0,7.487568316353466,10.156138459120022,10.77830497758891,259.0,0.4864864864864865,-0.0712530712530712,191.0,0.4869109947643979,-0.0704426463588767,0.222179914216594,1055
0.96,0.3,4.0,1.0,7.485699452974021,10.164888801404237,10.773174898948929,250.0,0.5,-0.0454545454545454,188.0,0.4946808510638298,-0.0556092843326886,0.2223981835906808,1055
0.96,0.3,4.0,3.0,7.4855089124092435,10.16417413054918,10.77266717573877,249.0,0.5020080321285141,-0.0416210295728368,187.0,0.4919786096256685,-0.0607681088964511,0.222377022183301,1055
0.96,0.3,4.0,10.0,7.484970191998062,10.162067481821602,10.771442821595238,248.0,0.5040322580645161,-0.0377565982404692,187.0,0.4919786096256685,-0.0607681088964511,0.222319779706743,1055
0.96,0.3,8.0,1.0,7.484183566591282,10.177282791165316,10.765172875015914,253.0,0.5098814229249012,-0.0265900107797341,179.0,0.5027932960893855,-0.0401218892839004,0.2225896824878281,1055
0.96,0.3,8.0,3.0,7.483998824177178,10.176531919447813,10.76476047031922,254.0,0.5118110236220472,-0.0229062276306371,180.0,0.5,-0.0454545454545454,0.2225702984505795,1055
0.96,0.3,8.0,10.0,7.483472242172966,10.174254851958654,10.763566790573604,254.0,0.515748031496063,-0.0153901216893343,179.0,0.5027932960893855,-0.0401218892839004,0.2225176597988337,1055
0.96,0.5,2.0,1.0,7.4937773513260675,10.172320272982349,10.79007234745688,286.0,0.486013986013986,-0.072155117609663,201.0,0.4825870646766169,-0.0786974219810041,0.2221835801110332,1055
0.96,0.5,2.0,3.0,7.4933115414564995,10.17155507315327,10.788961772484774,288.0,0.4861111111111111,-0.0719696969696969,201.0,0.4825870646766169,-0.0786974219810041,0.2221518906509484,1055
0.96,0.5,2.0,10.0,7.49206211436953,10.169298051493916,10.785893795768663,285.0,0.4807017543859649,-0.0822966507177033,200.0,0.485,-0.0740909090909091,0.2220684650949147,1055
0.96,0.5,4.0,1.0,7.491181062288899,10.17195962125185,10.784659893990591,278.0,0.4820143884892086,-0.079790712884238,200.0,0.49,-0.0645454545454545,0.2222325446277086,1055
0.96,0.5,4.0,3.0,7.490768716527723,10.171109063439408,10.783647859965836,277.0,0.4801444043321299,-0.0833606826386609,200.0,0.49,-0.0645454545454545,0.2222018544846113,1055
0.96,0.5,4.0,10.0,7.48964796132428,10.168692243649096,10.780847238229995,277.0,0.4801444043321299,-0.0833606826386609,200.0,0.49,-0.0645454545454545,0.222120874366181,1055
0.96,0.5,8.0,1.0,7.489114901471303,10.176953047471688,10.778699762069222,277.0,0.4945848375451263,-0.0557925828683951,196.0,0.5,-0.0454545454545454,0.2223241949658149,1055
0.96,0.5,8.0,3.0,7.488733353797753,10.176039037400953,10.77774595405775,276.0,0.4963768115942029,-0.0523715415019763,198.0,0.5,-0.0454545454545455,0.2222951493517016,1055
