variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
base (20),7.3694,10.0235,10.6364,49-34,0.59,94-71,1055,7.2995,9.9965,10.2709,24-18,0.571,50-34,816
+ sacks allowed (offense),7.3689,10.028,10.6364,50-36,0.581,93-70,1055,7.303,10.0002,10.2709,21-16,0.568,51-35,816
+ sacks made (defense faced),7.3702,10.0277,10.6364,48-33,0.593,93-73,1055,7.3005,9.9976,10.2709,24-18,0.571,50-34,816
+ both,7.3694,10.032,10.6364,52-35,0.598,95-72,1055,7.3037,10.0011,10.2709,20-16,0.556,50-36,816
