game_id,season,game_type,home_team,away_team,home_exp,away_exp,spread_line,total_line,home_qb_rating,away_qb_rating,home_n_games,model_spread,model_total,p_home,p_cover_home,p_over,sigma_margin,sigma_total,n_train,coef_home,coef_neutral,coef_dome,coef_wind_out,coef_cold,coef_rain,home_score,away_score,roof,temp,referee,weekday,gametime,margin,side_home,cover,won,resid,pick_qb_out,opp_qb_out,pick_starters_out,opp_starters_out,pick_home,pick_is_dog,pick_rest,opp_rest,wind,rain,cold,dome,primetime,div_game,week,n_games,edge,pick_qb_rating,opp_qb_rating,pick_body_clock,coach_ats,h2h,ref_home_cover,pick_resid,short
2019_01_BAL_MIA,2019,REG,MIA,BAL,22.782261701187316,21.28590817833353,-7.0,41.0,0.0712375360468146,-0.05181041989829295,0.0,1.4963535228537879,44.068169879520845,0.553671538695529,0.7791903812729599,0.5892209659049253,13.164610169271754,13.603573144701704,3204,2.472420380640964,0.6656849138693572,-0.45212534713477565,-0.1260603928665598,0.015522127311679573,-0.6625596378371967,10.0,59.0,outdoors,91.0,Jerome Boger,Sunday,13:00,-49.0,True,-1.0,0.0,-50.49635352285379,0.0,0.0,0.0,0.0,1.0,True,7,7,8.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8.496353522853788,0.0712375360468146,-0.05181041989829295,0.0,0.0,-4.388888888888889,0.5219123505976095,-50.49635352285379,-42.0
2019_02_NE_MIA,2019,REG,MIA,NE,20.582160456369003,30.00118241892048,-18.0,48.5,0.07002282939641237,0.19124001839925775,1.0,-9.419021962551476,50.58334287528948,0.24667021164402111,0.7273311831342593,0.560843241783749,13.223156594289886,13.607061270421763,3236,2.42814660725548,0.6541507163586883,-0.44584570871921864,-0.1268876508420718,0.004014318860650592,-0.6730965484805188,0.0,43.0,outdoors,87.0,Bill Vinovich,Sunday,13:00,-43.0,True,-1.0,0.0,-33.580978037448524,0.0,0.0,0.0,0.0,1.0,True,7,7,4.0,0.0,0.0,0.0,0.0,1.0,2,1.0,8.580978037448524,0.07002282939641237,0.19124001839925775,0.0,-1.024390243902439,-0.8586956521739131,0.5120772946859904,-33.580978037448524,-25.0
2019_02_CLE_NYJ,2019,REG,NYJ,CLE,21.254301989602457,21.636807118310525,-6.5,45.5,-0.04758875561880997,0.013772593145480351,1.0,-0.3825051287080683,42.89110910791298,0.4991878460729106,0.7013844719776389,0.4239765925989787,13.223156594289886,13.607061270421763,3236,2.42814660725548,0.6541507163586883,-0.44584570871921864,-0.1268876508420718,0.004014318860650592,-0.6730965484805188,3.0,23.0,outdoors,72.0,Alex Kemp,Monday,20:15,-20.0,True,-1.0,0.0,-19.61749487129193,1.0,0.0,2.0,1.0,1.0,True,8,8,3.0,0.0,0.0,0.0,1.0,0.0,2,1.0,6.117494871291932,-0.04758875561880997,0.013772593145480351,0.0,-0.8707865168539326,1.0,0.5131578947368421,-19.61749487129193,-13.5
2019_05_MIN_NYG,2019,REG,NYG,MIN,21.45825609371445,21.471137248510356,-5.5,44.0,0.01744347256695301,0.03824710029908866,4.0,-0.012881154795906014,42.929393342224806,0.5090000940840638,0.67881633150241,0.46869186202612834,13.201633080166463,13.628129309141158,3330,2.296224582972259,0.6968959435821329,-0.5370592809750274,-0.12772155339406205,0.027919559483506017,-0.6390520889186572,10.0,28.0,outdoors,66.0,Clete Blakeman,Sunday,13:00,-18.0,True,-1.0,0.0,-17.987118845204094,0.0,0.0,0.0,1.0,1.0,True,7,7,10.0,0.0,0.0,0.0,0.0,0.0,5,4.0,5.487118845204094,0.01744347256695301,0.03824710029908866,0.0,-0.27419354838709675,-2.6315789473684212,0.47715736040609136,-17.987118845204094,-12.5
2019_05_NYJ_PHI,2019,REG,PHI,NYJ,26.427499018514826,17.449358197235952,14.0,43.0,0.08891213345166611,-0.1433619304525148,4.0,8.978140821278874,43.876857215750775,0.7555449683421079,0.3404755174758217,0.5256509308691767,13.201633080166463,13.628129309141158,3330,2.296224582972259,0.6968959435821329,-0.5370592809750274,-0.12772155339406205,0.027919559483506017,-0.6390520889186572,31.0,6.0,outdoors,68.0,Adrian Hill,Sunday,13:00,25.0,False,1.0,0.0,16.021859178721126,0.0,0.0,1.0,1.0,0.0,True,14,10,10.0,0.0,0.0,0.0,0.0,0.0,5,3.0,5.021859178721126,-0.1433619304525148,0.08891213345166611,0.0,-0.9505494505494505,-4.0,0.5079365079365079,16.021859178721126,11.0
2019_07_MIA_BUF,2019,REG,BUF,MIA,24.693251135614993,15.822023850833435,17.0,42.5,-0.09821348148250793,0.0530687536596913,5.0,8.871227284781558,40.51527498644843,0.752610149545262,0.2717019720451261,0.4421649017257757,13.174188512020827,13.642347340374243,3388,2.2701289623800736,1.010763169873553,-0.3360231899771053,-0.12097852073021194,0.0675998190949416,-0.5862497172395329,31.0,21.0,outdoors,65.0,Carl Cheffers,Sunday,13:00,10.0,False,-1.0,1.0,1.1287727152184424,0.0,0.0,2.0,0.0,0.0,True,7,14,7.0,0.0,0.0,0.0,0.0,1.0,7,5.0,8.128772715218442,0.0530687536596913,-0.09821348148250793,0.0,-1.5555555555555556,-1.6304347826086956,0.4824561403508772,1.1287727152184424,-7.0
2019_08_CLE_NE,2019,REG,NE,CLE,28.98020703230401,12.047929459175005,9.5,43.0,0.18136790153572527,-0.007590182808382138,7.0,16.932277573129003,41.02813649147902,0.9025457480735514,0.698313310872064,0.44257651601376735,13.190288243717228,13.65178274609924,3416,2.2229787072450287,1.004448177171233,-0.3267988261316744,-0.12244071654061113,0.0477814744707033,-0.7792497539905722,27.0,13.0,outdoors,49.0,Tony Corrente,Sunday,16:25,14.0,True,1.0,1.0,-2.932277573129003,0.0,0.0,0.0,1.0,1.0,False,6,14,11.0,1.0,0.0,0.0,0.0,0.0,8,7.0,7.432277573129003,0.18136790153572527,-0.007590182808382138,0.0,3.3076923076923075,-0.8333333333333334,0.48467966573816157,-2.932277573129003,4.5
2019_08_GB_KC,2019,REG,KC,GB,26.107922956423337,24.973414606275,-5.0,48.0,-0.009925411137802367,0.1353073874410008,7.0,1.1345083501483373,51.08133756269834,0.5419774999775109,0.7008151146521575,0.5892863299782944,13.190288243717228,13.65178274609924,3416,2.2229787072450287,1.004448177171233,-0.3267988261316744,-0.12244071654061113,0.0477814744707033,-0.7792497539905722,24.0,31.0,outdoors,54.0,Bill Vinovich,Sunday,20:20,-7.0,True,-1.0,0.0,-8.134508350148337,0.0,0.0,1.0,0.0,1.0,True,10,7,5.0,0.0,0.0,0.0,1.0,0.0,8,7.0,6.134508350148337,-0.009925411137802367,0.1353073874410008,0.0,1.8160762942779292,0.7,0.5047169811320755,-8.134508350148337,-2.0
2019_09_NYJ_MIA,2019,REG,MIA,NYJ,22.31188159666509,20.034230668403705,-3.5,42.5,0.053959158148265456,-0.08039636128223013,7.0,2.2776509282613837,42.3461122650688,0.5759503547064347,0.6942803911658689,0.4954954742037967,13.17043464620884,13.628741882272486,3446,2.230665965400229,0.7501798803279837,-0.2936601696438911,-0.11584820362145923,0.037729043667318614,-0.7489018878026839,26.0,18.0,outdoors,85.0,Walt Anderson,Sunday,13:00,8.0,True,1.0,1.0,5.722349071738616,0.0,0.0,0.0,1.0,1.0,True,6,7,11.0,0.0,0.0,0.0,0.0,1.0,9,7.0,5.777650928261384,0.053959158148265456,-0.08039636128223013,0.0,-1.3191489361702127,-2.5543478260869565,0.4592833876221498,5.722349071738616,11.5
2019_09_CLE_DEN,2019,REG,DEN,CLE,21.525740811133744,18.199396452809857,-4.0,39.0,-0.05,-0.018754224659230323,8.0,3.3263443583238868,39.7251372639436,0.6063334401447944,0.7376237105035375,0.5212163002192233,13.17043464620884,13.628741882272486,3446,2.230665965400229,0.7501798803279837,-0.2936601696438911,-0.11584820362145923,0.037729043667318614,-0.7489018878026839,24.0,19.0,outdoors,55.0,Bill Vinovich,Sunday,16:25,5.0,True,1.0,1.0,1.6736556416761132,0.0,0.0,0.0,1.0,1.0,True,7,7,4.0,0.0,0.0,0.0,0.0,0.0,9,8.0,7.326344358323887,-0.05,-0.018754224659230323,0.0,-0.19791666666666666,3.7142857142857144,0.5023474178403756,1.6736556416761132,9.0
2019_11_BUF_MIA,2019,REG,MIA,BUF,18.57556981125188,20.27864905449672,-7.0,41.5,0.0559626490892408,-0.06968428577481241,9.0,-1.70307924324484,38.85421886574861,0.46072498428448877,0.6995550754417243,0.4228605855040749,13.154603374770959,13.597342375668141,3500,2.2251585570709125,0.42534607810484665,-0.3477907969460642,-0.11487450310885786,-0.04506616691379481,-0.7738658462063275,20.0,37.0,outdoors,62.0,Scott Novak,Sunday,13:00,-17.0,True,-1.0,0.0,-15.29692075675516,0.0,0.0,0.0,0.0,1.0,True,7,7,13.0,0.0,0.0,0.0,0.0,1.0,11,9.0,5.29692075675516,0.0559626490892408,-0.06968428577481241,0.0,-0.7244897959183674,-1.446808510638298,0.463768115942029,-15.29692075675516,-10.0
2019_13_CHI_DET,2019,REG,DET,CHI,20.721966014157296,21.219185856780097,-5.5,37.5,-0.05,-0.017384340902429816,11.0,-0.49721984262280117,41.94115187093739,0.49740954971341933,0.6633414284874529,0.6280275519818264,13.203082118679017,13.596731979767823,3556,2.224844114603543,0.2441664284997372,-0.33870792639756314,-0.1221394460183003,-0.018243506513014325,-0.991340978882216,20.0,24.0,dome,,Jerome Boger,Thursday,12:30,-4.0,True,1.0,1.0,-3.502780157377199,0.0,0.0,0.0,3.0,1.0,True,4,4,0.0,0.0,0.0,1.0,1.0,1.0,13,11.0,5.002780157377199,-0.05,-0.017384340902429816,0.0,-0.007462686567164179,-2.595744680851064,0.524904214559387,-3.502780157377199,1.5
2019_13_NO_ATL,2019,REG,ATL,NO,25.130104769533514,27.12844963029902,-7.0,48.0,0.13692923206577118,0.17803220916152485,11.0,-1.9983448607655063,52.25855439983253,0.45273778879780907,0.6896201514932299,0.6229372595413356,13.203082118679017,13.596731979767823,3556,2.224844114603543,0.2441664284997372,-0.33870792639756314,-0.1221394460183003,-0.018243506513014325,-0.991340978882216,18.0,26.0,closed,,Shawn Smith,Thursday,20:20,-8.0,True,-1.0,0.0,-6.001655139234494,0.0,0.0,0.0,0.0,1.0,True,4,4,0.0,0.0,0.0,1.0,1.0,1.0,13,11.0,5.001655139234494,0.13692923206577118,0.17803220916152485,0.0,-0.11304347826086956,-0.32978723404255317,0.47674418604651164,-6.001655139234494,-1.0
2019_13_PHI_MIA,2019,REG,MIA,PHI,20.037340776526555,24.412134486617916,-10.5,45.0,0.04649357589865161,0.061447243297141296,11.0,-4.37479371009136,44.44947526314447,0.3830627760305007,0.6896293824226162,0.48385144316405615,13.203082118679017,13.596731979767823,3556,2.224844114603543,0.2441664284997372,-0.33870792639756314,-0.1221394460183003,-0.018243506513014325,-0.991340978882216,37.0,31.0,outdoors,82.0,Adrian Hill,Sunday,13:00,6.0,True,1.0,1.0,10.37479371009136,0.0,0.0,0.0,0.0,1.0,True,7,7,15.0,0.0,0.0,0.0,0.0,0.0,13,11.0,6.12520628990864,0.04649357589865161,0.061447243297141296,0.0,-1.0098039215686274,-2.6363636363636362,0.5,10.37479371009136,16.5
2019_17_NYJ_BUF,2019,REG,BUF,NYJ,21.15425182928179,13.967971790979933,-1.5,37.0,-0.025497002696818646,-0.036430047456228846,15.0,7.186280038301858,35.12222362026172,0.7145977104974466,0.7358591006316907,0.4451662710973009,13.205437501505465,13.618578459359567,3684,2.1364542050498794,0.20425578536304348,-0.3180404653392543,-0.11755257481427585,-0.18863453343587538,-1.1078882854766183,6.0,13.0,outdoors,43.0,Bradley Rogers,Sunday,13:00,-7.0,True,-1.0,0.0,-14.186280038301858,0.0,0.0,1.0,1.0,1.0,True,7,7,7.0,1.0,0.0,0.0,0.0,1.0,17,15.0,8.686280038301858,-0.025497002696818646,-0.036430047456228846,0.0,0.29310344827586204,0.3829787234042553,0.4864864864864865,-14.186280038301858,-5.5
2019_17_GB_DET,2019,REG,DET,GB,18.557788326041422,26.048285767437612,-13.5,44.0,-0.11596510068421774,0.11717033566123745,15.0,-7.49049744139619,44.60607409347904,0.2960814237640747,0.6572642677524569,0.517748459767252,13.205437501505465,13.618578459359567,3684,2.1364542050498794,0.20425578536304348,-0.3180404653392543,-0.11755257481427585,-0.18863453343587538,-1.1078882854766183,20.0,23.0,dome,,Shawn Hochuli,Sunday,13:00,-3.0,True,1.0,1.0,4.49049744139619,0.0,0.0,0.0,0.0,1.0,True,7,6,0.0,0.0,0.0,1.0,0.0,1.0,17,15.0,6.00950255860381,-0.11596510068421774,0.11717033566123745,0.0,-0.22535211267605634,-0.10638297872340426,0.47191011235955055,4.49049744139619,10.5
2019_17_CHI_MIN,2019,REG,MIN,CHI,20.338049051236666,16.632453412814172,-5.5,36.5,-0.1714161960985402,-0.016308771304351447,15.0,3.705595638422494,36.97050246405084,0.6205640936455022,0.7668390130022192,0.5137801454546369,13.205437501505465,13.618578459359567,3684,2.1364542050498794,0.20425578536304348,-0.3180404653392543,-0.11755257481427585,-0.18863453343587538,-1.1078882854766183,19.0,21.0,dome,,John Hussey,Sunday,13:00,-2.0,True,1.0,1.0,-5.705595638422494,0.0,0.0,0.0,0.0,1.0,True,6,7,0.0,0.0,0.0,1.0,0.0,1.0,17,15.0,9.205595638422494,-0.1714161960985402,-0.016308771304351447,0.0,1.4333333333333333,-2.4361702127659575,0.5111111111111111,-5.705595638422494,3.5
2019_17_PIT_BAL,2019,REG,BAL,PIT,23.894590362640194,12.904793202672744,-2.0,35.0,0.002754433606107773,-0.05519062281880764,15.0,10.98979715996745,36.79938356531294,0.8030724491983885,0.8341458879058679,0.5525581277840657,13.205437501505465,13.618578459359567,3684,2.1364542050498794,0.20425578536304348,-0.3180404653392543,-0.11755257481427585,-0.18863453343587538,-1.1078882854766183,28.0,10.0,outdoors,46.0,Bill Vinovich,Sunday,16:25,18.0,True,1.0,1.0,7.01020284003255,0.0,0.0,0.0,1.0,1.0,True,7,7,7.0,1.0,0.0,0.0,0.0,1.0,17,15.0,12.98979715996745,0.002754433606107773,-0.05519062281880764,0.0,2.054112554112554,1.7340425531914894,0.4954545454545455,7.01020284003255,20.0
2019_17_TEN_HOU,2019,REG,HOU,TEN,23.761901734694653,23.823875745548545,-10.0,43.0,-0.04794026961233212,0.0051740790933110506,15.0,-0.061974010853891315,47.585777480243195,0.5102573340746323,0.7926582888677327,0.6318395986161591,13.205437501505465,13.618578459359567,3684,2.1364542050498794,0.20425578536304348,-0.3180404653392543,-0.11755257481427585,-0.18863453343587538,-1.1078882854766183,14.0,35.0,closed,,Clete Blakeman,Sunday,16:25,-21.0,True,-1.0,0.0,-20.93802598914611,0.0,0.0,0.0,0.0,1.0,True,7,7,0.0,0.0,0.0,1.0,0.0,1.0,17,15.0,9.938025989146109,-0.04794026961233212,0.0051740790933110506,0.0,0.5296296296296297,3.682926829268293,0.4855769230769231,-20.93802598914611,-11.0
2020_01_IND_JAX,2020,REG,JAX,IND,22.83202235945092,24.273544160413216,-7.0,44.0,-0.031525374330837234,0.13517452056995274,0.0,-1.4415218009622954,47.10556651986414,0.4683881739825553,0.7042164634470505,0.5904222963311887,13.19662880722182,13.583288853049392,3738,2.1056539123538363,0.13431975928789933,-0.33245185559722223,-0.1208197142722972,-0.22808058524128447,-1.08983275118678,27.0,20.0,outdoors,80.0,John Hussey,Sunday,13:00,7.0,True,1.0,1.0,8.441521800962295,0.0,0.0,0.0,0.0,1.0,True,7,7,3.0,0.0,0.0,0.0,0.0,1.0,1,0.0,5.558478199037705,-0.031525374330837234,0.13517452056995274,0.0,0.6024590163934426,1.2790697674418605,0.5147058823529411,8.441521800962295,14.0
2020_02_BUF_MIA,2020,REG,MIA,BUF,21.79748627335743,21.654041515765837,-5.5,42.5,0.058150734690354915,-0.03570371300440938,1.0,0.1434447575915918,43.45152778912326,0.5148097253387979,0.6779126682067712,0.5279526579849427,13.172526585381089,13.569149048719604,3770,2.1127563366196274,0.13636376586676813,-0.2750243681773839,-0.1206131960777431,-0.21554620758121829,-1.0790046169832803,28.0,31.0,outdoors,90.0,Jerome Boger,Sunday,13:00,-3.0,True,1.0,1.0,-3.143444757591592,0.0,0.0,1.0,1.0,1.0,True,7,7,5.0,0.0,0.0,0.0,0.0,1.0,2,1.0,5.643444757591592,0.058150734690354915,-0.03570371300440938,0.0,-0.3684210526315789,-1.625,0.5243445692883895,-3.143444757591592,2.5
