variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
current,7.3694,10.0235,10.6364,49-34,0.59,94-71,1055,7.2995,9.9965,10.2709,24-18,0.571,50-34,816
"+ turnover (both teams, both sides)",7.3694,10.0235,10.6598,49-34,0.59,94-71,1055,7.2995,9.9965,10.2816,24-18,0.571,50-34,816
