variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
Questionable = available (current),7.3694,10.0235,10.6364,49-34,0.59,94-71,1055,7.2995,9.9965,10.2709,24-18,0.571,50-34,816
Questionable x 0.3,7.3674,10.0217,10.6364,49-37,0.57,92-73,1055,7.2997,10.0053,10.2709,24-17,0.585,48-34,816
Questionable x 0.5,7.3668,10.0245,10.6364,45-34,0.57,93-69,1055,7.3005,10.0122,10.2709,25-16,0.61,50-37,816
"Questionable x 0.3, DNP all week x 0.7",7.3662,10.0196,10.6364,47-36,0.566,93-71,1055,7.3003,10.0084,10.2709,26-17,0.605,48-34,816
"Questionable x 0.5, DNP x 0.8",7.3659,10.0233,10.6364,44-35,0.557,93-68,1055,7.301,10.0146,10.2709,27-16,0.628,50-37,816
