variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
equal weight (current),7.4026,10.052,10.6364,51-33,0.607,87-74,1055,7.3035,10.0396,10.2709,21-16,0.568,55-36,816
0.95 per season,7.3994,10.0439,10.6364,51-32,0.614,89-68,1055,7.3052,10.0385,10.2709,20-17,0.541,55-37,816
0.9 per season,7.3965,10.037,10.6364,53-36,0.596,89-70,1055,7.3079,10.0385,10.2709,21-17,0.553,56-38,816
0.8 per season,7.3928,10.0262,10.6364,53-38,0.582,95-69,1055,7.3164,10.0432,10.2709,22-17,0.564,54-31,816
0.7 per season,7.3908,10.0212,10.6364,51-40,0.56,100-67,1055,7.3264,10.0526,10.2709,22-20,0.524,52-36,816
