variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
everything since 2013 (today),7.3599,10.0231,10.6197,53-38,0.582,93-69,1055,7.2889,9.9697,10.2606,21-16,0.568,46-28,816
last 10 seasons,7.3599,10.0231,10.6197,53-38,0.582,93-69,1055,7.2907,9.9663,10.2715,22-16,0.579,48-28,816
last 8 seasons,7.3641,10.0183,10.6198,53-38,0.582,94-69,1055,7.2877,9.9616,10.2572,24-17,0.585,54-31,816
last 6 seasons,7.3674,10.0309,10.6294,55-37,0.598,92-67,1055,7.3068,9.9552,10.2621,27-16,0.628,54-33,816
