game_id,season,week,game_type,home_team,away_team,home_exp,away_exp,spread_line,total_line,home_qb_rating,away_qb_rating,home_n_games,model_spread,model_total,p_home,p_cover_home,p_over,sigma_margin,sigma_total,coef_home,coef_neutral,coef_rest_short,coef_rest_long,coef_opp_rest_short,coef_opp_rest_long,coef_dome,coef_wind_out,coef_cold,coef_div_game,coef_primetime,gameday,home_score,away_score,spread_edge,total_edge,old_home,old_away,bet
2026_02_DET_BUF,2026,2,REG,BUF,DET,29.120863199678123,24.358990345315558,5.5,54.5,0.14884983786443948,0.13880378185375486,1.0,4.761872854362565,53.47985354499368,0.6374936341639585,0.4566602172690084,0.4695679013246006,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-17,41.0,31.0,-0.738127145637435,-1.0201464550063193,34.07917191767482,38.96432042698422,
2026_02_CAR_ATL,2026,2,REG,ATL,CAR,27.747755265297794,19.631235261608136,-2.5,43.5,0.10470637488733525,-0.09210342069331466,1.0,8.116520003689658,47.37899052690593,0.7267504141330258,0.7680846632084156,0.6142201406664631,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,3.0,34.0,10.616520003689658,3.8789905269059304,2.878776566750356,22.006854062955014,ATL +2.5
2026_02_NO_BAL,2026,2,REG,BAL,NO,27.74515208032964,19.17971849967459,8.5,45.5,0.13343635694438466,-0.008015194311772932,1.0,8.56543358065505,46.924870580004225,0.7379001557758361,0.4488348032927183,0.5424662574713641,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,17.0,24.0,0.0654335806550499,1.4248705800042245,50.94665900847886,20.53773174463968,
2026_02_MIN_CHI,2026,2,REG,CHI,MIN,24.029998142301395,21.99792990484532,4.5,46.5,0.0269572813250402,-0.0033408984330613872,1.0,2.0320682374560732,46.027928047146716,0.5592856788993682,0.39976130904336105,0.4859068179791787,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,3.0,9.0,-2.4679317625439268,-0.47207195285328396,36.35864542797243,42.15300747951136,
2026_02_CIN_HOU,2026,2,REG,HOU,CIN,25.75302562308505,24.698694615287092,3.0,45.5,0.029771114368275276,0.11111228619525884,1.0,1.054331007797959,50.45172023837215,0.5306164180383218,0.43204904196004906,0.6445423798085319,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,6.0,20.0,-1.945668992202041,4.951720238372147,25.949971356978686,45.697905019575,
2026_02_PIT_NE,2026,2,REG,NE,PIT,23.936720796384765,19.36690471580726,4.5,41.5,0.06925232753749003,0.07430300155714348,1.0,4.569816080577507,43.30362551219203,0.6321184743755414,0.4739020002692141,0.5536932957735061,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,20.0,3.0,0.06981608057750677,1.8036255121920277,4.187467488667269,14.974933438845696,
2026_02_GB_NYJ,2026,2,REG,NYJ,GB,22.2731342934107,23.967819685672445,-3.5,44.5,-0.021588614165982872,0.14947645027497944,1.0,-1.6946853922617464,46.240953979083145,0.4496977956253643,0.5823872682128479,0.5518383121897171,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,17.0,20.0,1.8053146077382536,1.7409539790831445,39.64113076821393,9.768667288587517,
2026_02_CLE_TB,2026,2,REG,TB,CLE,24.961881723427034,20.682895570635427,8.5,41.5,0.05631241836580251,0.030279462259557268,1.0,4.278986152791607,45.644777294062465,0.6239352992610443,0.3219475673437301,0.6218065807450994,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,19.0,23.0,-4.221013847208393,4.1447772940624645,16.604698161973758,3.5418409143628793,
2026_02_PHI_TEN,2026,2,REG,TEN,PHI,18.573095504665623,24.441579548345118,-7.0,39.5,-0.1522917553042523,0.07844995938275869,1.0,-5.868484043679494,43.01467505301074,0.3313166491014257,0.5853602560019185,0.603750522165553,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,20.0,24.0,1.1315159563205057,3.514675053010741,12.208253662597592,32.658857030230614,
2026_02_JAX_DEN,2026,2,REG,DEN,JAX,20.45764695786066,23.102029105959257,2.5,45.5,0.0496744374879947,0.03841657807371357,1.0,-2.6443821480985967,43.55967606381992,0.42202519705927827,0.3725100657813862,0.44226476424403904,13.0605128451904,13.360381006198189,1.9756877690816372,-0.6210596041098716,1.64199949253199,0.37279271418891574,-1.058956259485672,-0.22723328858830147,0.19640901517953696,-0.1423404678081415,-0.17839534978551094,-0.6708425538717818,-0.5563037674199061,2026-09-20,20.0,13.0,-5.144382148098597,-1.9403239361800786,5.711030846030838,46.72392517039112,JAX +2.5
