model,window,total_mae,vegas_mae,ats4,ats6
A ratings only,2019-22,10.804,10.541,66-76,16-15
A ratings only,2023-25,10.422,10.161,50-61,14-12
B + weather/dome,2019-22,10.641,10.541,77-53,22-14
B + weather/dome,2023-25,10.299,10.161,62-56,9-9
C + pace/primetime/div/mismatch,2019-22,10.612,10.541,92-73,22-18
C + pace/primetime/div/mismatch,2023-25,10.335,10.161,77-62,11-13
current (sum of team points),2019-22,10.663,10.541,88-73,15-15
current (sum of team points),2023-25,10.318,10.121,49-59,12-11
