variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,delta_2019-22,delta_2023-25,verdict
cold under 35F (today),7.3624,10.032,10.6197,47-34,0.58,94-69,1055,7.2972,9.9773,10.2606,23-17,0.575,47-32,816,0.0,0.0,base
cold under 30F,7.3681,10.0353,10.6216,47-31,0.603,90-68,1055,7.3014,9.9888,10.2618,23-16,0.59,45-33,816,0.005700000000000038,0.0041999999999999815,no
cold under 40F,7.3711,10.0382,10.6252,48-31,0.608,91-66,1055,7.3024,9.9904,10.2639,23-16,0.59,46-31,816,0.008700000000000152,0.005199999999999427,no
cold under 45F,7.3741,10.0385,10.6249,48-31,0.608,92-67,1055,7.3034,9.9896,10.2587,23-16,0.59,45-31,816,0.011700000000000266,0.006199999999999761,no
"degrees under 45F (per 10F, capped at 30)",7.3693,10.034,10.6219,48-32,0.6,92-69,1055,7.3018,9.986,10.2582,23-16,0.59,45-32,816,0.006899999999999906,0.0045999999999999375,no
