variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
schedule readings (today),7.3587,10.0329,10.6197,41-33,0.554,92-63,1055,7.2863,9.949,10.2606,22-17,0.564,49-27,816
kickoff-hour archive readings,7.3758,10.0333,10.6395,39-33,0.542,89-62,1055,7.2868,9.9567,10.3016,22-17,0.564,49-28,816
