variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
pure model (today),7.3599,10.0231,10.6197,53-38,0.582,93-69,1055,7.2889,9.9697,10.2606,21-16,0.568,46-28,816
model + the line's implied points,7.2477,9.8938,10.6197,0-0,,3-0,1055,7.182,9.7118,10.2606,0-0,,0-0,816
the line alone,7.2912,9.8914,10.6197,0-0,,0-0,1055,7.2125,9.7467,10.2606,0-0,,0-0,816
