variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
"EPA per dropback, sacks included (today)",7.3599,10.0231,10.6197,53-38,0.582,93-69,1055,7.2889,9.9697,10.2606,21-16,0.568,46-28,816
"EPA per dropback, sacks excluded",7.3463,10.0241,10.6055,54-34,0.614,91-65,1055,7.2944,9.9389,10.257,21-15,0.583,47-36,816
