variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
base (20),7.3694,10.0235,10.6364,49-34,0.59,94-71,1055,7.2995,9.9965,10.2709,24-18,0.571,50-34,816
+ own new coach,7.3659,10.0198,10.6364,53-35,0.602,95-74,1055,7.3076,9.9979,10.2709,26-18,0.591,52-35,816
+ opponent new coach,7.369,10.0333,10.6364,48-35,0.578,93-76,1055,7.2986,9.9998,10.2709,24-18,0.571,53-33,816
+ both,7.3654,10.0268,10.6364,50-35,0.588,96-73,1055,7.3065,10.0017,10.2709,26-19,0.578,55-35,816
