variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
base,7.417,10.1088,10.6244,42-35,0.545,92-73,1055,7.331,10.0723,10.2957,28-19,0.596,58-39,816
+ own OL out (count),7.4183,10.105,10.6244,44-33,0.571,90-73,1055,7.3312,10.0727,10.2957,28-19,0.596,58-39,816
+ own offensive snaps out,7.4172,10.1006,10.6244,44-34,0.564,90-71,1055,7.3302,10.0681,10.2957,28-19,0.596,57-39,816
+ opponent OL out,7.4134,10.1008,10.6244,45-33,0.577,88-70,1055,7.3322,10.071,10.2957,27-19,0.587,58-39,816
+ opponent defensive snaps out,7.4106,10.1075,10.6244,52-38,0.578,86-74,1055,7.3182,10.0703,10.2957,24-21,0.533,57-37,816
+ own OL out + opponent defensive snaps out,7.4119,10.1039,10.6244,48-39,0.552,84-74,1055,7.3174,10.0699,10.2957,25-20,0.556,58-38,816
+ all four,7.4059,10.0952,10.6244,48-41,0.539,85-77,1055,7.3183,10.0634,10.2957,28-18,0.609,60-41,816
