variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
base (22),7.3438,10.0236,10.612,37-33,0.529,84-59,1055,7.2735,9.9156,10.2687,20-14,0.588,45-27,816
+ opponent defenders' value out,7.3636,10.0793,10.612,39-33,0.542,86-69,1055,7.2821,9.9085,10.2687,21-15,0.583,48-29,816
+ own defenders' value out,7.3568,10.0291,10.612,40-34,0.541,84-65,1055,7.2836,9.9218,10.2687,21-13,0.618,48-30,816
+ both,7.372,10.0553,10.612,37-28,0.569,77-59,1055,7.2857,9.9108,10.2687,21-16,0.568,46-28,816
