variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,team_mae_2015-18,margin_mae_2015-18
base (today),7.3437,10.03,10.6147,35-33,0.515,84-59,1055,7.2739,9.9137,10.2654,19-14,0.576,44-29,816,7.397,9.962
"A3 new QB, early",7.3431,10.0377,10.6147,34-33,0.507,84-61,1055,7.2732,9.9144,10.2654,19-14,0.576,45-28,816,7.4093,9.989
"A3 new head coach, early",7.3402,10.0301,10.6147,37-32,0.536,83-63,1055,7.2798,9.9145,10.2654,21-15,0.583,47-29,816,7.4,9.9731
"A3 line returning, early",7.3466,10.0333,10.6147,36-33,0.522,85-63,1055,7.2763,9.9193,10.2654,19-14,0.576,44-29,816,7.4005,9.97
A3 all three,7.3427,10.0414,10.6147,37-34,0.521,82-66,1055,7.281,9.9201,10.2654,21-15,0.583,46-28,816,7.4186,10.0123
