variant,shrink,sigma_mult,season,window,asof_week,games_left,wins_mae,pace_mae,div_brier,div_brier_leader,div_brier_flat,div_ll,div_ll_flat,div_hit,po_brier,po_brier_flat,sb_ll,sb_ll_flat,conf_ll,conf_ll_flat,champ_rank,verdict
shrink0.1_sig1.15,0.1,1.15,2023,2023-25,1,272.0,1.9146,2.2188,0.1557,0.1875,0.1875,1.1839,1.3863,0.5,0.2152,0.2461,2.0688,3.4657,1.5946,2.7726,1.0,not adopted
shrink0.2_sig1,0.2,1.0,2023,2023-25,1,272.0,1.9124,2.2188,0.1556,0.1875,0.1875,1.1864,1.3863,0.5,0.2156,0.2461,2.0454,3.4657,1.5854,2.7726,1.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2023,2023-25,1,272.0,1.9262,2.2188,0.1564,0.1875,0.1875,1.1824,1.3863,0.5,0.215,0.2461,2.157,3.4657,1.6693,2.7726,1.0,not adopted
shrink0.3_sig1,0.3,1.0,2023,2023-25,1,272.0,1.9256,2.2188,0.1565,0.1875,0.1875,1.1833,1.3863,0.5,0.215,0.2461,2.1513,3.4657,1.6675,2.7726,1.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2023,2023-25,1,272.0,1.9405,2.2188,0.1592,0.1875,0.1875,1.1971,1.3863,0.5,0.217,0.2461,2.3126,3.4657,1.7828,2.7726,1.0,not adopted
shrink0_sig1,0.0,1.0,2023,2023-25,5,208.0,1.4433,1.6875,0.067,0.1016,0.1875,0.5033,1.3863,0.75,0.1191,0.2461,1.7278,3.4657,1.0587,2.7726,3.0,base
shrink0_sig1.15,0.0,1.15,2023,2023-25,5,208.0,1.4174,1.6875,0.0703,0.1016,0.1875,0.529,1.3863,0.75,0.1184,0.2461,1.7998,3.4657,1.1383,2.7726,3.0,not adopted
shrink0.1_sig1,0.1,1.0,2023,2023-25,5,208.0,1.4235,1.6875,0.0693,0.1016,0.1875,0.5221,1.3863,0.75,0.1188,0.2461,1.7958,3.4657,1.115,2.7726,3.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2023,2023-25,5,208.0,1.4034,1.6875,0.0729,0.1016,0.1875,0.5484,1.3863,0.75,0.1188,0.2461,1.906,3.4657,1.2182,2.7726,3.0,not adopted
shrink0.2_sig1,0.2,1.0,2023,2023-25,5,208.0,1.4062,1.6875,0.0725,0.1016,0.1875,0.5454,1.3863,0.75,0.1189,0.2461,1.8883,3.4657,1.2044,2.7726,3.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2023,2023-25,5,208.0,1.392,1.6875,0.0754,0.1016,0.1875,0.5676,1.3863,0.75,0.1202,0.2461,1.9829,3.4657,1.2977,2.7726,3.0,not adopted
shrink0.3_sig1,0.3,1.0,2023,2023-25,5,208.0,1.393,1.6875,0.0752,0.1016,0.1875,0.5665,1.3863,0.75,0.1201,0.2461,1.9805,3.4657,1.289,2.7726,3.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2023,2023-25,5,208.0,1.3872,1.6875,0.0785,0.1016,0.1875,0.5887,1.3863,0.75,0.1208,0.2461,2.0479,3.4657,1.3597,2.7726,3.0,not adopted
shrink0_sig1,0.0,1.0,2023,2023-25,9,150.0,1.4225,1.5625,0.1352,0.25,0.1875,0.8312,1.3863,0.5,0.1921,0.2461,1.666,3.4657,1.2817,2.7726,1.0,base
shrink0_sig1.15,0.0,1.15,2023,2023-25,9,150.0,1.4202,1.5625,0.1347,0.25,0.1875,0.8347,1.3863,0.5,0.1896,0.2461,1.7354,3.4657,1.3436,2.7726,1.0,not adopted
shrink0.1_sig1,0.1,1.0,2023,2023-25,9,150.0,1.4199,1.5625,0.1346,0.25,0.1875,0.8332,1.3863,0.5,0.1903,0.2461,1.726,3.4657,1.3478,2.7726,1.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2023,2023-25,9,150.0,1.4209,1.5625,0.1357,0.25,0.1875,0.8461,1.3863,0.5,0.1891,0.2461,1.7858,3.4657,1.4016,2.7726,1.0,not adopted
shrink0.2_sig1,0.2,1.0,2023,2023-25,9,150.0,1.4214,1.5625,0.1356,0.25,0.1875,0.844,1.3863,0.5,0.1892,0.2461,1.7858,3.4657,1.3968,2.7726,1.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2023,2023-25,9,150.0,1.4244,1.5625,0.1374,0.25,0.1875,0.8601,1.3863,0.5,0.1869,0.2461,1.8181,3.4657,1.4401,2.7726,1.0,not adopted
shrink0.3_sig1,0.3,1.0,2023,2023-25,9,150.0,1.4245,1.5625,0.1373,0.25,0.1875,0.8598,1.3863,0.5,0.1873,0.2461,1.8264,3.4657,1.4359,2.7726,1.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2023,2023-25,9,150.0,1.4299,1.5625,0.1387,0.25,0.1875,0.8716,1.3863,0.5,0.1864,0.2461,1.8883,3.4657,1.4923,2.7726,1.0,not adopted
shrink0_sig1,0.0,1.0,2023,2023-25,13,92.0,0.9944,1.0625,0.1918,0.2344,0.1875,1.2164,1.3863,0.5,0.1363,0.2461,1.6766,3.4657,1.0516,2.7726,2.0,base
shrink0_sig1.15,0.0,1.15,2023,2023-25,13,92.0,0.9839,1.0625,0.1896,0.2344,0.1875,1.1939,1.3863,0.5,0.1373,0.2461,1.726,3.4657,1.1129,2.7726,2.0,not adopted
shrink0.1_sig1,0.1,1.0,2023,2023-25,13,92.0,0.9852,1.0625,0.1903,0.2344,0.1875,1.2003,1.3863,0.5,0.137,0.2461,1.7093,3.4657,1.0973,2.7726,2.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2023,2023-25,13,92.0,0.9825,1.0625,0.1891,0.2344,0.1875,1.1939,1.3863,0.5,0.138,0.2461,1.7661,3.4657,1.1759,2.7726,2.0,not adopted
shrink0.2_sig1,0.2,1.0,2023,2023-25,13,92.0,0.9828,1.0625,0.189,0.2344,0.1875,1.1922,1.3863,0.5,0.1377,0.2461,1.7545,3.4657,1.1618,2.7726,2.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2023,2023-25,13,92.0,0.9835,1.0625,0.1883,0.2344,0.1875,1.1856,1.3863,0.5,0.1385,0.2461,1.8038,3.4657,1.2288,2.7726,2.0,not adopted
shrink0.3_sig1,0.3,1.0,2023,2023-25,13,92.0,0.9833,1.0625,0.1884,0.2344,0.1875,1.1877,1.3863,0.5,0.1384,0.2461,1.8059,3.4657,1.2264,2.7726,2.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2023,2023-25,13,92.0,0.9846,1.0625,0.1878,0.2344,0.1875,1.185,1.3863,0.5,0.1398,0.2461,1.8751,3.4657,1.2906,2.7726,2.0,not adopted
shrink0_sig1,0.0,1.0,2023,2023-25,17,32.0,0.5153,0.5,0.1032,0.1458,0.1875,0.5784,1.3863,0.625,0.0848,0.2461,2.5341,3.4657,1.3311,2.7726,5.0,base
shrink0_sig1.15,0.0,1.15,2023,2023-25,17,32.0,0.5138,0.5,0.1029,0.1458,0.1875,0.5774,1.3863,0.625,0.0843,0.2461,2.5299,3.4657,1.3788,2.7726,5.0,not adopted
shrink0.1_sig1,0.1,1.0,2023,2023-25,17,32.0,0.5143,0.5,0.1031,0.1458,0.1875,0.5781,1.3863,0.625,0.0844,0.2461,2.5299,3.4657,1.3663,2.7726,5.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2023,2023-25,17,32.0,0.5135,0.5,0.1025,0.1458,0.1875,0.5756,1.3863,0.625,0.0839,0.2461,2.5596,3.4657,1.406,2.7726,5.0,not adopted
shrink0.2_sig1,0.2,1.0,2023,2023-25,17,32.0,0.5137,0.5,0.1027,0.1458,0.1875,0.5766,1.3863,0.625,0.0839,0.2461,2.5468,3.4657,1.4006,2.7726,5.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2023,2023-25,17,32.0,0.5137,0.5,0.1025,0.1458,0.1875,0.5765,1.3863,0.625,0.0835,0.2461,2.5858,3.4657,1.4583,2.7726,5.0,not adopted
shrink0.3_sig1,0.3,1.0,2023,2023-25,17,32.0,0.5136,0.5,0.1025,0.1458,0.1875,0.5764,1.3863,0.625,0.0835,0.2461,2.577,3.4657,1.4555,2.7726,5.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2023,2023-25,17,32.0,0.514,0.5,0.1025,0.1458,0.1875,0.5774,1.3863,0.625,0.0834,0.2461,2.6127,3.4657,1.4932,2.7726,5.0,not adopted
shrink0_sig1,0.0,1.0,2024,2023-25,1,272.0,3.0381,3.125,0.1573,0.1875,0.1875,1.0367,1.3863,0.375,0.2698,0.2461,4.3954,3.4657,2.4376,2.7726,19.0,base
shrink0_sig1.15,0.0,1.15,2024,2023-25,1,272.0,3.0368,3.125,0.1564,0.1875,0.1875,1.0504,1.3863,0.375,0.265,0.2461,4.0943,3.4657,2.4087,2.7726,17.0,not adopted
shrink0.1_sig1,0.1,1.0,2024,2023-25,1,272.0,3.0369,3.125,0.1565,0.1875,0.1875,1.0467,1.3863,0.375,0.2659,0.2461,4.1145,3.4657,2.3837,2.7726,18.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2024,2023-25,1,272.0,3.0369,3.125,0.1563,0.1875,0.1875,1.0649,1.3863,0.375,0.2611,0.2461,4.0551,3.4657,2.3783,2.7726,18.0,not adopted
shrink0.2_sig1,0.2,1.0,2024,2023-25,1,272.0,3.0362,3.125,0.1562,0.1875,0.1875,1.0607,1.3863,0.375,0.2613,0.2461,4.0551,3.4657,2.3949,2.7726,18.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2024,2023-25,1,272.0,3.0396,3.125,0.1574,0.1875,0.1875,1.0853,1.3863,0.375,0.2584,0.2461,3.981,3.4657,2.4234,2.7726,17.0,not adopted
shrink0.3_sig1,0.3,1.0,2024,2023-25,1,272.0,3.0396,3.125,0.1575,0.1875,0.1875,1.0853,1.3863,0.375,0.2588,0.2461,3.981,3.4657,2.4141,2.7726,17.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2024,2023-25,1,272.0,3.0428,3.125,0.1589,0.1875,0.1875,1.108,1.3863,0.375,0.2568,0.2461,3.7869,3.4657,2.4397,2.7726,17.0,not adopted
shrink0_sig1,0.0,1.0,2024,2023-25,5,208.0,2.3564,2.625,0.1315,0.25,0.1875,0.9946,1.3863,0.5,0.1754,0.2461,4.2687,3.4657,2.2845,2.7726,16.0,base
shrink0_sig1.15,0.0,1.15,2024,2023-25,5,208.0,2.3906,2.625,0.1313,0.25,0.1875,0.9878,1.3863,0.625,0.171,0.2461,4.0361,3.4657,2.2106,2.7726,16.0,not adopted
shrink0.1_sig1,0.1,1.0,2024,2023-25,5,208.0,2.3837,2.625,0.1318,0.25,0.1875,0.9926,1.3863,0.5,0.1725,0.2461,3.999,3.4657,2.2138,2.7726,16.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2024,2023-25,5,208.0,2.4114,2.625,0.1317,0.25,0.1875,0.9904,1.3863,0.625,0.1693,0.2461,3.999,3.4657,2.208,2.7726,16.0,not adopted
shrink0.2_sig1,0.2,1.0,2024,2023-25,5,208.0,2.4072,2.625,0.1316,0.25,0.1875,0.9891,1.3863,0.625,0.1698,0.2461,4.0551,3.4657,2.2143,2.7726,16.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2024,2023-25,5,208.0,2.433,2.625,0.132,0.25,0.1875,0.9879,1.3863,0.625,0.1668,0.2461,4.0361,3.4657,2.2412,2.7726,18.0,not adopted
shrink0.3_sig1,0.3,1.0,2024,2023-25,5,208.0,2.4316,2.625,0.132,0.25,0.1875,0.9888,1.3863,0.625,0.1669,0.2461,3.999,3.4657,2.2387,2.7726,17.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2024,2023-25,5,208.0,2.4558,2.625,0.1327,0.25,0.1875,0.9941,1.3863,0.625,0.166,0.2461,3.9288,3.4657,2.2271,2.7726,17.0,not adopted
shrink0_sig1,0.0,1.0,2024,2023-25,9,149.0,1.6834,2.0,0.0991,0.2448,0.1875,0.651,1.3863,0.75,0.0881,0.2461,2.7806,3.4657,1.5343,2.7726,5.0,base
shrink0_sig1.15,0.0,1.15,2024,2023-25,9,149.0,1.716,2.0,0.1009,0.2448,0.1875,0.6638,1.3863,0.625,0.0889,0.2461,2.8416,3.4657,1.5668,2.7726,6.0,not adopted
shrink0.1_sig1,0.1,1.0,2024,2023-25,9,149.0,1.7087,2.0,0.1008,0.2448,0.1875,0.6624,1.3863,0.625,0.0886,0.2461,2.7969,3.4657,1.5473,2.7726,5.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2024,2023-25,9,149.0,1.7387,2.0,0.1023,0.2448,0.1875,0.6736,1.3863,0.625,0.0896,0.2461,2.819,3.4657,1.5901,2.7726,6.0,not adopted
shrink0.2_sig1,0.2,1.0,2024,2023-25,9,149.0,1.7341,2.0,0.1019,0.2448,0.1875,0.6711,1.3863,0.625,0.0893,0.2461,2.8079,3.4657,1.5727,2.7726,5.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2024,2023-25,9,149.0,1.7621,2.0,0.1046,0.2448,0.1875,0.6878,1.3863,0.625,0.0906,0.2461,2.786,3.4657,1.6033,2.7726,5.0,not adopted
shrink0.3_sig1,0.3,1.0,2024,2023-25,9,149.0,1.7607,2.0,0.1045,0.2448,0.1875,0.6875,1.3863,0.625,0.0905,0.2461,2.7914,3.4657,1.6051,2.7726,6.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2024,2023-25,9,149.0,1.7848,2.0,0.1063,0.2448,0.1875,0.6976,1.3863,0.625,0.0913,0.2461,2.7806,3.4657,1.6388,2.7726,6.0,not adopted
shrink0_sig1,0.0,1.0,2024,2023-25,13,93.0,1.0318,1.4062,0.0762,0.125,0.1875,0.5125,1.3863,0.75,0.0713,0.2461,2.1774,3.4657,1.3711,2.7726,4.0,base
shrink0_sig1.15,0.0,1.15,2024,2023-25,13,93.0,1.0523,1.4062,0.078,0.125,0.1875,0.5199,1.3863,0.75,0.0714,0.2461,2.2073,3.4657,1.4077,2.7726,4.0,not adopted
shrink0.1_sig1,0.1,1.0,2024,2023-25,13,93.0,1.0474,1.4062,0.0777,0.125,0.1875,0.5193,1.3863,0.75,0.0715,0.2461,2.1833,3.4657,1.388,2.7726,4.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2024,2023-25,13,93.0,1.0671,1.4062,0.079,0.125,0.1875,0.5244,1.3863,0.75,0.0719,0.2461,2.2634,3.4657,1.4354,2.7726,4.0,not adopted
shrink0.2_sig1,0.2,1.0,2024,2023-25,13,93.0,1.0644,1.4062,0.0789,0.125,0.1875,0.5242,1.3863,0.75,0.0719,0.2461,2.2318,3.4657,1.4186,2.7726,4.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2024,2023-25,13,93.0,1.086,1.4062,0.0802,0.125,0.1875,0.5297,1.3863,0.75,0.0721,0.2461,2.3093,3.4657,1.458,2.7726,4.0,not adopted
shrink0.3_sig1,0.3,1.0,2024,2023-25,13,93.0,1.0847,1.4062,0.0801,0.125,0.1875,0.5297,1.3863,0.75,0.0721,0.2461,2.316,3.4657,1.4534,2.7726,4.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2024,2023-25,13,93.0,1.1121,1.4062,0.0816,0.125,0.1875,0.5366,1.3863,0.75,0.0722,0.2461,2.3093,3.4657,1.4777,2.7726,4.0,not adopted
shrink0_sig1,0.0,1.0,2024,2023-25,17,32.0,0.5163,0.5,0.0283,0.0469,0.1875,0.1996,1.3863,1.0,0.0163,0.2461,2.5383,3.4657,1.4032,2.7726,5.0,base
shrink0_sig1.15,0.0,1.15,2024,2023-25,17,32.0,0.5145,0.5,0.0298,0.0469,0.1875,0.2071,1.3863,1.0,0.0167,0.2461,2.5299,3.4657,1.4229,2.7726,5.0,not adopted
shrink0.1_sig1,0.1,1.0,2024,2023-25,17,32.0,0.5149,0.5,0.0294,0.0469,0.1875,0.205,1.3863,1.0,0.0165,0.2461,2.5257,3.4657,1.4176,2.7726,5.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2024,2023-25,17,32.0,0.5134,0.5,0.0313,0.0469,0.1875,0.2142,1.3863,1.0,0.0172,0.2461,2.4889,3.4657,1.4264,2.7726,5.0,not adopted
shrink0.2_sig1,0.2,1.0,2024,2023-25,17,32.0,0.5138,0.5,0.0309,0.0469,0.1875,0.2124,1.3863,1.0,0.0171,0.2461,2.4929,3.4657,1.4215,2.7726,5.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2024,2023-25,17,32.0,0.5124,0.5,0.0327,0.0469,0.1875,0.221,1.3863,1.0,0.0176,0.2461,2.5174,3.4657,1.4548,2.7726,5.0,not adopted
shrink0.3_sig1,0.3,1.0,2024,2023-25,17,32.0,0.5125,0.5,0.0327,0.0469,0.1875,0.2208,1.3863,1.0,0.0176,0.2461,2.5216,3.4657,1.4533,2.7726,5.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2024,2023-25,17,32.0,0.511,0.5,0.0342,0.0469,0.1875,0.228,1.3863,1.0,0.0182,0.2461,2.5299,3.4657,1.4747,2.7726,5.0,not adopted
shrink0_sig1,0.0,1.0,2025,2023-25,1,272.0,2.6923,2.875,0.2649,0.1875,0.1875,2.2271,1.3863,0.125,0.2731,0.2461,4.7483,3.4657,4.978,2.7726,18.0,base
shrink0_sig1.15,0.0,1.15,2025,2023-25,1,272.0,2.6823,2.875,0.2539,0.1875,0.1875,2.0528,1.3863,0.125,0.2656,0.2461,4.451,3.4657,4.4597,2.7726,18.0,not adopted
shrink0.1_sig1,0.1,1.0,2025,2023-25,1,272.0,2.6835,2.875,0.2567,0.1875,0.1875,2.0976,1.3863,0.125,0.2682,0.2461,4.451,3.4657,4.5455,2.7726,18.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2025,2023-25,1,272.0,2.6798,2.875,0.2464,0.1875,0.1875,1.9507,1.3863,0.125,0.2596,0.2461,4.1777,3.4657,4.2822,2.7726,18.0,not adopted
shrink0.2_sig1,0.2,1.0,2025,2023-25,1,272.0,2.6806,2.875,0.2482,0.1875,0.1875,1.974,1.3863,0.125,0.2612,0.2461,4.1997,3.4657,4.3175,2.7726,18.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2025,2023-25,1,272.0,2.6765,2.875,0.2386,0.1875,0.1875,1.8539,1.3863,0.125,0.2544,0.2461,4.0745,3.4657,4.0128,2.7726,18.0,not adopted
shrink0.3_sig1,0.3,1.0,2025,2023-25,1,272.0,2.6768,2.875,0.2392,0.1875,0.1875,1.8604,1.3863,0.125,0.2547,0.2461,4.0551,3.4657,3.9855,2.7726,18.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2025,2023-25,1,272.0,2.6743,2.875,0.2309,0.1875,0.1875,1.7701,1.3863,0.25,0.2494,0.2461,3.999,3.4657,3.7038,2.7726,18.0,not adopted
shrink0_sig1,0.0,1.0,2025,2023-25,5,208.0,2.2126,2.3125,0.2283,0.2865,0.1875,1.9916,1.3863,0.25,0.2091,0.2461,3.8475,3.4657,3.3653,2.7726,12.0,base
shrink0_sig1.15,0.0,1.15,2025,2023-25,5,208.0,2.2028,2.3125,0.2255,0.2865,0.1875,1.8597,1.3863,0.25,0.2076,0.2461,3.7023,3.4657,3.319,2.7726,11.0,not adopted
shrink0.1_sig1,0.1,1.0,2025,2023-25,5,208.0,2.2051,2.3125,0.2259,0.2865,0.1875,1.8771,1.3863,0.25,0.2078,0.2461,3.7579,3.4657,3.2947,2.7726,12.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2025,2023-25,5,208.0,2.1949,2.3125,0.2236,0.2865,0.1875,1.7928,1.3863,0.25,0.2057,0.2461,3.6889,3.4657,3.1798,2.7726,12.0,not adopted
shrink0.2_sig1,0.2,1.0,2025,2023-25,5,208.0,2.1963,2.3125,0.2241,0.2865,0.1875,1.8115,1.3863,0.25,0.2062,0.2461,3.6889,3.4657,3.2025,2.7726,12.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2025,2023-25,5,208.0,2.1873,2.3125,0.2206,0.2865,0.1875,1.7225,1.3863,0.25,0.2033,0.2461,3.362,3.4657,3.0039,2.7726,9.0,not adopted
shrink0.3_sig1,0.3,1.0,2025,2023-25,5,208.0,2.1874,2.3125,0.2208,0.2865,0.1875,1.7224,1.3863,0.25,0.2032,0.2461,3.3814,3.4657,3.0205,2.7726,9.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2025,2023-25,5,208.0,2.1813,2.3125,0.2184,0.2865,0.1875,1.6637,1.3863,0.25,0.2004,0.2461,3.3335,3.4657,2.9526,2.7726,10.0,not adopted
shrink0_sig1,0.0,1.0,2025,2023-25,9,151.0,1.8954,2.0938,0.2171,0.2083,0.1875,1.764,1.3863,0.375,0.1945,0.2461,3.4738,3.4657,2.4322,2.7726,11.0,base
shrink0_sig1.15,0.0,1.15,2025,2023-25,9,151.0,1.9117,2.0938,0.2109,0.2083,0.1875,1.6213,1.3863,0.5,0.1895,0.2461,3.4846,3.4657,2.4432,2.7726,12.0,not adopted
shrink0.1_sig1,0.1,1.0,2025,2023-25,9,151.0,1.9072,2.0938,0.2118,0.2083,0.1875,1.6406,1.3863,0.5,0.1904,0.2461,3.4012,3.4657,2.3996,2.7726,11.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2025,2023-25,9,151.0,1.9256,2.0938,0.2076,0.2083,0.1875,1.5457,1.3863,0.5,0.1854,0.2461,3.3059,3.4657,2.3399,2.7726,11.0,not adopted
shrink0.2_sig1,0.2,1.0,2025,2023-25,9,151.0,1.9229,2.0938,0.2078,0.2083,0.1875,1.5536,1.3863,0.5,0.186,0.2461,3.3716,3.4657,2.3674,2.7726,11.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2025,2023-25,9,151.0,1.9389,2.0938,0.2045,0.2083,0.1875,1.4915,1.3863,0.5,0.1831,0.2461,3.2442,3.4657,2.267,2.7726,11.0,not adopted
shrink0.3_sig1,0.3,1.0,2025,2023-25,9,151.0,1.9385,2.0938,0.2045,0.2083,0.1875,1.4915,1.3863,0.5,0.1832,0.2461,3.2272,3.4657,2.2683,2.7726,11.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2025,2023-25,9,151.0,1.9541,2.0938,0.2017,0.2083,0.1875,1.4504,1.3863,0.5,0.1807,0.2461,3.2702,3.4657,2.2768,2.7726,12.0,not adopted
shrink0_sig1,0.0,1.0,2025,2023-25,13,94.0,1.3826,1.375,0.1769,0.1562,0.1875,1.0546,1.3863,0.375,0.155,0.2461,3.1466,3.4657,1.9527,2.7726,11.0,base
shrink0_sig1.15,0.0,1.15,2025,2023-25,13,94.0,1.3705,1.375,0.1703,0.1562,0.1875,1.0086,1.3863,0.375,0.1477,0.2461,3.0092,3.4657,1.9146,2.7726,9.0,not adopted
shrink0.1_sig1,0.1,1.0,2025,2023-25,13,94.0,1.3736,1.375,0.1722,0.1562,0.1875,1.0201,1.3863,0.375,0.1498,0.2461,3.0228,3.4657,1.9222,2.7726,9.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2025,2023-25,13,94.0,1.3637,1.375,0.1658,0.1562,0.1875,0.9786,1.3863,0.375,0.1436,0.2461,2.9759,3.4657,1.8974,2.7726,9.0,not adopted
shrink0.2_sig1,0.2,1.0,2025,2023-25,13,94.0,1.3648,1.375,0.1666,0.1562,0.1875,0.9841,1.3863,0.375,0.1442,0.2461,2.9629,3.4657,1.8945,2.7726,9.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2025,2023-25,13,94.0,1.356,1.375,0.1605,0.1562,0.1875,0.9427,1.3863,0.375,0.1383,0.2461,3.0024,3.4657,1.917,2.7726,11.0,not adopted
shrink0.3_sig1,0.3,1.0,2025,2023-25,13,94.0,1.3562,1.375,0.1607,0.1562,0.1875,0.9434,1.3863,0.375,0.1385,0.2461,3.0092,3.4657,1.9153,2.7726,11.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2025,2023-25,13,94.0,1.3519,1.375,0.1561,0.1562,0.1875,0.9157,1.3863,0.375,0.1338,0.2461,2.9375,3.4657,1.89,2.7726,11.0,not adopted
shrink0_sig1,0.0,1.0,2025,2023-25,17,32.0,0.6089,0.5625,0.0353,0.0,0.1875,0.2812,1.3863,1.0,0.0083,0.2461,2.0454,3.4657,1.4653,2.7726,1.0,base
shrink0_sig1.15,0.0,1.15,2025,2023-25,17,32.0,0.6058,0.5625,0.0347,0.0,0.1875,0.2782,1.3863,1.0,0.0078,0.2461,2.025,3.4657,1.486,2.7726,1.0,not adopted
shrink0.1_sig1,0.1,1.0,2025,2023-25,17,32.0,0.6065,0.5625,0.0347,0.0,0.1875,0.2783,1.3863,1.0,0.0079,0.2461,2.0326,3.4657,1.4815,2.7726,1.0,not adopted
shrink0.1_sig1.15,0.1,1.15,2025,2023-25,17,32.0,0.6043,0.5625,0.0345,0.0,0.1875,0.2777,1.3863,1.0,0.0077,0.2461,2.0326,3.4657,1.5059,2.7726,1.0,not adopted
shrink0.2_sig1,0.2,1.0,2025,2023-25,17,32.0,0.6045,0.5625,0.0344,0.0,0.1875,0.2771,1.3863,1.0,0.0077,0.2461,2.0275,3.4657,1.4975,2.7726,1.0,not adopted
shrink0.2_sig1.15,0.2,1.15,2025,2023-25,17,32.0,0.6024,0.5625,0.034,0.0,0.1875,0.275,1.3863,1.0,0.0074,0.2461,2.0377,3.4657,1.5319,2.7726,1.0,not adopted
shrink0.3_sig1,0.3,1.0,2025,2023-25,17,32.0,0.6025,0.5625,0.034,0.0,0.1875,0.2748,1.3863,1.0,0.0074,0.2461,2.0377,3.4657,1.5328,2.7726,1.0,not adopted
shrink0.3_sig1.15,0.3,1.15,2025,2023-25,17,32.0,0.6002,0.5625,0.0338,0.0,0.1875,0.2738,1.3863,1.0,0.0073,0.2461,2.0821,3.4657,1.5485,2.7726,1.0,not adopted
shrink0.1_sig1,0.1,1.0,mean,2019-22,1,,2.1942,2.5703,0.1506,0.1875,0.1875,1.1402,1.3863,0.5938,0.212,0.2432,2.6939,3.4657,2.6166,2.7726,5.0,not adopted
shrink0.1_sig1,0.1,1.0,mean,2019-22,5,,1.7767,2.0859,0.104,0.1367,0.1875,0.7237,1.3863,0.6875,0.1469,0.2432,2.3459,3.4657,1.8634,2.7726,4.5,not adopted
shrink0.1_sig1,0.1,1.0,mean,2019-22,9,,1.373,1.6484,0.0832,0.1328,0.1875,0.5704,1.3863,0.6875,0.1071,0.2432,2.5005,3.4657,1.6831,2.7726,4.75,not adopted
shrink0.1_sig1,0.1,1.0,mean,2019-22,13,,1.0442,1.25,0.0717,0.0977,0.1875,0.5006,1.3863,0.8438,0.091,0.2432,2.7555,3.4657,1.8344,2.7726,6.5,not adopted
shrink0.1_sig1,0.1,1.0,mean,2019-22,17,,0.4427,0.5,0.0132,0.0156,0.1875,0.1098,1.3863,1.0,0.0498,0.2432,2.1758,3.4657,1.6142,2.7726,4.5,not adopted
shrink0.1_sig1,0.1,1.0,mean,2023-25,1,,2.5402,2.7396,0.1894,0.1875,0.1875,1.4449,1.3863,0.3333,0.2501,0.2461,3.4981,3.4657,2.8138,2.7726,12.3333,not adopted
shrink0.1_sig1,0.1,1.0,mean,2023-25,5,,2.0041,2.2083,0.1423,0.2127,0.1875,1.1306,1.3863,0.5,0.1663,0.2461,3.1842,3.4657,2.2078,2.7726,10.3333,not adopted
shrink0.1_sig1,0.1,1.0,mean,2023-25,9,,1.6786,1.8854,0.1491,0.2344,0.1875,1.0454,1.3863,0.5417,0.1565,0.2461,2.6414,3.4657,1.7649,2.7726,5.6667,not adopted
shrink0.1_sig1,0.1,1.0,mean,2023-25,13,,1.1354,1.2812,0.1467,0.1719,0.1875,0.9132,1.3863,0.5417,0.1194,0.2461,2.3051,3.4657,1.4691,2.7726,5.0,not adopted
