variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,team_mae_2015-18,margin_mae_2015-18
raw (now),7.3434,10.0324,10.6156,35-33,0.515,85-61,1055,7.2734,9.9141,10.2631,19-14,0.576,45-27,816,7.3991,9.9604
opponent-adjusted,7.3436,10.0324,10.6156,39-33,0.542,85-60,1055,7.2732,9.9143,10.2631,19-14,0.576,46-27,816,7.3983,9.9597
