added,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,delta_2019-22,delta_2023-25,verdict
(none),7.3599,10.0231,10.6197,53-38,0.582,93-69,1055,7.2889,9.9697,10.2606,21-16,0.568,46-28,816,0.0,0.0,base
"out of the race: week 12+, win rate <= 30% (own + opp)",7.3595,10.0296,10.6197,43-37,0.537,93-66,1055,7.2701,9.9268,10.2606,21-19,0.525,49-32,816,-0.0004,-0.0188,helps one
"out of the race: week 12+, win rate <= 40% (own + opp)",7.3587,10.0329,10.6197,41-33,0.554,92-63,1055,7.2863,9.949,10.2606,22-17,0.564,49-27,816,-0.0012,-0.0026,helps both
"out of the race: week 14+, win rate <= 30% (own + opp)",7.3613,10.0297,10.6197,48-36,0.571,96-68,1055,7.2757,9.9213,10.2606,21-17,0.553,51-29,816,0.0014,-0.0132,helps one
"out of the race: week 14+, win rate <= 40% (own + opp)",7.3597,10.0332,10.6197,49-33,0.598,94-70,1055,7.2885,9.9592,10.2606,22-16,0.579,51-28,816,-0.0002,-0.0004,no
"late season x record so far (own + opp), week 14+",7.3672,10.0329,10.6197,49-32,0.605,96-65,1055,7.2784,9.9394,10.2606,22-15,0.595,51-30,816,0.0073,-0.0105,helps one
late-season flag (week 14+),7.3648,10.0218,10.6197,53-38,0.582,93-70,1055,7.2896,9.9695,10.2606,21-16,0.568,46-28,816,0.0049,0.0007,no
