role,window,n,raw,adjusted,half,raw_plus_next,adjusted_no_next,half_no_next
passer,2015-18,2269,0.08811420639717703,0.08692360877923849,0.0863891179700998,0.08727346522083236,0.08791577032746051,0.08798918645335553
passer,2019-22,2365,0.09067133854662489,0.08933099657768372,0.08861317997196061,0.08962443651897625,0.09051294113332954,0.09055744243447564
passer,2023-25,1834,0.09816805289405718,0.09703953444772723,0.09663653312502514,0.0973095654866703,0.09804190363412617,0.0980853958480634
receiver,2015-18,6564,0.3460159674251219,0.3489713136664852,0.3463788785773077,0.3496757329404093,0.3453669279402477,0.34568672135828293
receiver,2019-22,6442,0.3540116368064198,0.35363129385366343,0.3524430355443797,0.35455363183031846,0.3531350193053379,0.3535671278830854
receiver,2023-25,4569,0.38138628813053577,0.38436024104794825,0.38191988868210996,0.38506312466125253,0.3807441822102414,0.38106127689961505
rusher,2015-18,3822,0.0827551260414766,0.08406325877906619,0.08291333328822101,0.08509723200740112,0.08198446313558407,0.0823490354120091
rusher,2019-22,4088,0.09059307268792736,0.09091842351060427,0.09018560659479792,0.09116641918066935,0.09043387266569614,0.0905042722659789
rusher,2023-25,3225,0.09483476900737817,0.09612432587739994,0.09495816997992597,0.09663797755362483,0.09450636985546491,0.0946570858209937
