variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
current,7.4274,10.1432,10.6401,40-32,0.556,80-66,1055,7.3417,10.1055,10.2898,26-17,0.605,51-45,816
+ division,7.4274,10.1432,10.6485,40-32,0.556,80-66,1055,7.3417,10.1055,10.3007,26-17,0.605,51-45,816
+ skill value out (both teams),7.4274,10.1432,10.6461,40-32,0.556,80-66,1055,7.3417,10.1055,10.2843,26-17,0.605,51-45,816
+ both,7.4274,10.1432,10.6552,40-32,0.556,80-66,1055,7.3417,10.1055,10.2938,26-17,0.605,51-45,816
