added,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25,delta_2019-22,delta_2023-25,verdict
(none),7.3694,10.0235,10.6364,49-34,0.59,94-71,1055,7.2995,9.9965,10.2709,24-18,0.571,50-34,816,0.0,0.0,base
"rest short / long, both teams",7.3806,10.0281,10.6364,49-35,0.583,93-72,1055,7.301,9.9997,10.2709,24-18,0.571,49-33,816,0.011200000000000543,0.0015000000000000568,no
rest difference in days,7.3701,10.025,10.6364,49-34,0.59,93-74,1055,7.2985,9.9998,10.2709,24-18,0.571,47-33,816,0.000700000000000145,-0.001000000000000334,helps one
artificial turf,7.3735,10.0241,10.6364,49-34,0.59,95-71,1055,7.2989,9.9968,10.2709,24-18,0.571,50-34,816,0.004100000000000215,-0.000600000000000378,no
out of the race after week 13 (own / opp),7.3699,10.0301,10.6364,45-33,0.577,95-69,1055,7.2826,9.9522,10.2709,25-18,0.581,54-33,816,0.0005000000000006111,-0.016899999999999693,helps one
record so far (own / opp),7.3772,10.0546,10.6364,43-27,0.614,84-67,1055,7.2931,9.9892,10.2709,22-21,0.512,52-35,816,0.007800000000000473,-0.006400000000000183,helps one
ridge penalty 3 (now 10),7.3694,10.0239,10.6364,49-34,0.59,94-71,1055,7.2994,9.9964,10.2709,24-18,0.571,51-34,816,0.0,-9.999999999976694e-05,no
ridge penalty 30 (now 10),7.3693,10.0226,10.6364,48-34,0.585,94-70,1055,7.2996,9.997,10.2709,24-18,0.571,49-34,816,-9.999999999976694e-05,9.999999999976694e-05,no
ridge penalty 100 (now 10),7.3692,10.0198,10.6364,47-34,0.58,91-73,1055,7.3001,9.9984,10.2709,23-17,0.575,49-33,816,-0.00019999999999953388,0.0005999999999994898,no
