variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
train from 2013 (today),7.3599,10.0231,10.6197,53-38,0.582,93-69,1055,7.2889,9.9697,10.2606,21-16,0.568,46-28,816
train from 2015,7.3501,10.0053,10.6373,52-38,0.578,103-64,1055,7.2872,9.9617,10.2547,21-17,0.553,48-30,816
train from 2017,7.37,10.0062,10.7064,72-47,0.605,123-76,1055,7.2954,9.9578,10.2467,26-17,0.605,55-35,816
