variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
raw (current),7.4026,10.052,10.6364,51-33,0.607,87-74,1055,7.3035,10.0396,10.2709,21-16,0.568,55-36,816
"adjusted, full",7.4012,10.0476,10.6383,52-35,0.598,90-73,1055,7.3037,10.0431,10.2717,21-17,0.553,55-36,816
"adjusted, half",7.4019,10.0499,10.6373,52-35,0.598,87-74,1055,7.3035,10.0413,10.2713,21-17,0.553,55-36,816
