variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
replacement level -0.30,7.3569,10.0476,10.601,48-39,0.552,95-63,1055,7.2999,9.9574,10.2548,22-18,0.55,50-36,816
replacement level -0.25,7.3571,10.044,10.6037,47-39,0.547,95-66,1055,7.2984,9.9604,10.2549,21-17,0.553,48-33,816
replacement level -0.20,7.3581,10.0401,10.6079,47-38,0.553,94-66,1055,7.2975,9.9649,10.2556,21-16,0.568,48-30,816
replacement level -0.16,7.3597,10.0363,10.613,47-34,0.58,92-66,1055,7.297,9.9699,10.2574,22-16,0.579,46-31,816
replacement level -0.12,7.3624,10.032,10.6197,47-34,0.58,94-69,1055,7.2972,9.9773,10.2606,23-17,0.575,47-32,816
replacement level -0.08,7.366,10.0268,10.6287,47-34,0.58,95-70,1055,7.2982,9.9878,10.2659,23-17,0.575,47-34,816
replacement level -0.05,7.3694,10.0235,10.6364,49-34,0.59,94-71,1055,7.2995,9.9965,10.2709,24-18,0.571,50-34,816
replacement level -0.02,7.3738,10.0213,10.6448,49-34,0.59,95-74,1055,7.3018,10.0061,10.2761,24-18,0.571,53-35,816
replacement level +0.00,7.3771,10.0195,10.6507,52-34,0.605,96-74,1055,7.3039,10.0125,10.2794,24-20,0.545,55-37,816
