variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
qb_k 40,7.3625,10.028,10.6153,47-36,0.566,91-70,1055,7.2966,9.9698,10.2546,20-20,0.5,55-34,816
qb_k 60,7.3619,10.0291,10.6155,47-35,0.573,90-71,1055,7.2962,9.9718,10.2553,21-18,0.538,53-32,816
qb_k 80,7.3615,10.0301,10.6164,44-35,0.557,91-71,1055,7.2962,9.9735,10.2564,22-17,0.564,52-31,816
qb_k 150 (today),7.3624,10.032,10.6197,47-34,0.58,94-69,1055,7.2972,9.9773,10.2606,23-17,0.575,47-32,816
qb_k 250,7.3647,10.035,10.6245,48-36,0.571,96-68,1055,7.2997,9.982,10.2647,23-17,0.575,47-29,816
qb_k 400,7.3686,10.0384,10.6312,53-38,0.582,100-64,1055,7.3029,9.987,10.2691,21-18,0.538,50-29,816
