variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
base,7.4026,10.052,10.6364,51-33,0.607,87-74,1055,7.3035,10.0396,10.2709,21-16,0.568,55-36,816
+ own offensive continuity,7.4031,10.0525,10.6364,51-32,0.614,87-74,1055,7.3041,10.0381,10.2709,21-16,0.568,55-37,816
+ opponent defensive continuity,7.3919,10.0442,10.6364,52-33,0.612,87-69,1055,7.3066,10.0348,10.2709,21-17,0.553,54-35,816
+ both,7.3745,10.0286,10.6364,48-35,0.578,91-70,1055,7.2985,10.0018,10.2709,24-17,0.585,49-33,816
