model,mae_2015-18,4+_2015-18,5+_2015-18,mae_2019-22,4+_2019-22,5+_2019-22,mae_2023-25,4+_2023-25,5+_2023-25
sp_gbm,10.09,135-120,95-66,10.184,126-101,84-60,10.013,61-33,34-17
sp_trees_new,10.197,140-122,83-72,10.111,108-86,75-47,10.027,55-53,34-24
blend_live,9.949,68-55,29-24,10.047,80-50,37-28,9.929,40-21,16-6
blend_new,9.947,56-53,27-22,10.033,70-47,32-24,9.933,39-23,14-5
