variant,team_mae_2019-22,margin_mae_2019-22,total_mae_2019-22,ats5_2019-22,ats5_pct_2019-22,ats4_2019-22,n_2019-22,team_mae_2023-25,margin_mae_2023-25,total_mae_2023-25,ats5_2023-25,ats5_pct_2023-25,ats4_2023-25,n_2023-25
baseline,7.4362,10.1523,10.6401,41-32,0.562,75-61,1055,7.3534,10.1172,10.2898,25-17,0.595,53-43,816
+ skill value out (EPA per play lost),7.4368,10.1464,10.6401,41-33,0.554,77-61,1055,7.3527,10.1137,10.2898,26-16,0.619,49-41,816
+ skill value out + touch share out,7.4365,10.1474,10.6401,41-34,0.547,79-65,1055,7.3588,10.1137,10.2898,27-18,0.6,53-43,816
+ own and opponent skill value out,7.4345,10.1426,10.6401,41-32,0.562,80-65,1055,7.3472,10.1054,10.2898,26-17,0.605,53-44,816
offense rating minus the value out,7.4363,10.1433,10.6384,42-32,0.568,78-62,1055,7.3515,10.1068,10.283,25-16,0.61,50-41,816
