Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,PassYds,PassTD,Int,NY/A,Pass1stD,RushAtt,RushYds,RushTD,Y/A,Rush1stD,Pen,PenYds,1stPy,Sc%
'Pittsburgh Steelers',17.0,380.0,5430.0,1081.0,5.0,17.0,11.0,318.0,321.0,499.0,3264.0,21.0,6.0,6.0,158.0,533.0,2166.0,14.0,4.1,122.0,102.0,823.0,38.0,39.6
'Indianapolis Colts',17.0,377.0,5692.0,1041.0,5.5,29.0,10.0,315.0,289.0,513.0,3361.0,20.0,19.0,6.2,161.0,496.0,2331.0,20.0,4.7,130.0,93.0,684.0,24.0,36.6
'Seattle Seahawks',17.0,375.0,5647.0,1030.0,5.5,24.0,8.0,329.0,413.0,593.0,4020.0,21.0,16.0,6.2,211.0,383.0,1627.0,17.0,4.2,88.0,119.0,987.0,30.0,35.2
'Houston Texans',17.0,372.0,5435.0,1058.0,5.1,19.0,7.0,308.0,357.0,570.0,3526.0,20.0,12.0,5.7,197.0,434.0,1909.0,15.0,4.4,89.0,119.0,981.0,22.0,36.8
'Los Angeles Rams',17.0,367.0,5633.0,1040.0,5.4,14.0,5.0,342.0,367.0,559.0,3868.0,22.0,9.0,6.6,192.0,450.0,1765.0,15.0,3.9,119.0,91.0,798.0,31.0,39.1
'Dallas Cowboys',17.0,350.0,5567.0,1104.0,5.0,28.0,14.0,327.0,398.0,637.0,3862.0,23.0,14.0,5.7,192.0,429.0,1705.0,6.0,4.0,98.0,128.0,921.0,37.0,36.5
'Miami Dolphins',17.0,345.0,5532.0,1082.0,5.1,21.0,11.0,344.0,413.0,591.0,3737.0,22.0,10.0,5.9,221.0,448.0,1795.0,12.0,4.0,90.0,114.0,926.0,33.0,39.0
'Carolina Panthers',17.0,341.0,5066.0,993.0,5.1,22.0,7.0,293.0,341.0,547.0,3188.0,22.0,15.0,5.5,168.0,410.0,1878.0,18.0,4.6,99.0,118.0,947.0,26.0,33.3
'New Orleans Saints',17.0,338.0,5442.0,1032.0,5.3,19.0,7.0,304.0,340.0,551.0,3488.0,21.0,12.0,5.9,167.0,444.0,1954.0,15.0,4.4,111.0,110.0,1003.0,26.0,34.8
'New York Jets',17.0,338.0,5275.0,1010.0,5.2,19.0,8.0,314.0,385.0,607.0,3714.0,31.0,11.0,5.7,201.0,363.0,1561.0,8.0,4.3,83.0,137.0,1134.0,30.0,34.1
'Jacksonville Jaguars',17.0,320.0,5206.0,992.0,5.2,24.0,9.0,298.0,343.0,546.0,3477.0,19.0,15.0,6.0,174.0,414.0,1729.0,13.0,4.2,106.0,99.0,787.0,18.0,33.3
'Tennessee Titans',17.0,311.0,5172.0,1032.0,5.0,34.0,13.0,309.0,336.0,530.0,3317.0,22.0,21.0,5.7,164.0,450.0,1855.0,11.0,4.1,112.0,132.0,1030.0,33.0,30.4
'Chicago Bears',17.0,310.0,4820.0,1065.0,4.5,16.0,9.0,296.0,353.0,566.0,3086.0,20.0,7.0,4.9,172.0,431.0,1734.0,13.0,4.0,97.0,110.0,867.0,27.0,29.8
'Las Vegas Raiders',17.0,309.0,5154.0,1065.0,4.8,29.0,13.0,310.0,410.0,635.0,3797.0,19.0,16.0,5.5,209.0,380.0,1357.0,10.0,3.6,78.0,96.0,807.0,23.0,33.0
'New England Patriots',17.0,289.0,4964.0,1027.0,4.8,23.0,12.0,301.0,342.0,529.0,2995.0,18.0,11.0,5.2,167.0,446.0,1969.0,11.0,4.4,101.0,111.0,916.0,33.0,30.9
'New York Giants',17.0,273.0,5011.0,1063.0,4.7,23.0,10.0,301.0,366.0,591.0,3228.0,15.0,13.0,5.1,170.0,424.0,1783.0,13.0,4.2,104.0,112.0,928.0,27.0,27.9
'Cleveland Browns',17.0,258.0,5114.0,1118.0,4.6,34.0,11.0,303.0,395.0,661.0,3506.0,19.0,23.0,4.8,180.0,391.0,1608.0,8.0,4.1,93.0,119.0,915.0,30.0,22.4
