ts,season,week,rows,errors
2026-09-23T06-12-53Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T07-10-32Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T08-10-24Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T09-10-34Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T10-10-42Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T11-11-01Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T11-54-21Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T13-11-26Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T14-11-37Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T15-21-31Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T15-51-15Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T17-01-11Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T18-10-40Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-23T18-56-27Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T19-00-11Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T19-21-39Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised; props: can't subtract offset-naive and offset-aware datetimes
2026-09-23T19-31-21Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T19-40-11Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T21-05-33Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T21-15-31Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T21-49-12Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
2026-09-23T21-57-37Z,2026,3,16,draftkings: sportsbook.draftkings.com: 403 Client Error: Forbidden for url: https://sportsbook.draf | sportsbook-nash.draftkings.com; dk_splits: covers page fetched but no consensus percentages recognised
